Participation Code,Gender,Age,Education,STAI-T Total,STAI-S Total_Session1,STAI-S Total_Session2,PANAS Positive Total_Session1,PANAS Positive Total_Session2,PANAS Negative Total_Session1,PANAS Negative Total_Session2,BFI_Open-Mindedness,BFI_Extraversion,BFI_Conscientiousness,BFI_Agreeableness,BFI_Negative Emotionality,AReA_AA,AReA_IAE,AReA_CB,AReA_Overall,Movement Familiarity_1,Movement Familiarity_2,Movement Familiarity_3,Movement Familiarity_4,Movement Familiarity_5
5,,,,,,,,,,,,,,,,,,,,,,,,
s03pdb1,3.0,23.0,5.0,42.0,36.0,53.0,36.0,31.0,28.0,26.0,14.0,7.0,11.0,10.0,6.0,3.727272727272727,2.25,2.0,3.2142857142857144,3.0,5.0,1.0,1.0,1.0
s04pdb1,2.0,21.0,1.0,43.0,36.0,37.0,32.0,41.0,24.0,27.0,14.0,8.0,9.0,11.0,9.0,3.8181818181818183,3.75,3.6666666666666665,3.7142857142857144,1.0,1.0,,1.0,
s05pdb1,2.0,31.0,6.0,58.0,48.0,,34.0,,25.0,,13.0,5.0,8.0,14.0,13.0,4.0,4.0,2.0,3.642857142857143,,2.0,3.0,,1.0
s06pdb1,2.0,39.0,5.0,40.0,40.0,,43.0,,26.0,,15.0,8.0,11.0,12.0,9.0,4.545454545454546,3.75,4.0,4.285714285714286,5.0,5.0,5.0,4.0,5.0
s11pdb1,2.0,21.0,3.0,58.0,55.0,53.0,26.0,21.0,22.0,18.0,13.0,9.0,7.0,13.0,13.0,3.090909090909091,2.0,3.0,2.857142857142857,1.0,2.0,1.0,1.0,1.0
s13pdb1,2.0,23.0,6.0,44.0,42.0,,43.0,,27.0,,9.0,7.0,9.0,15.0,5.0,4.0,3.25,1.6666666666666667,3.642857142857143,5.0,2.0,3.0,0.0,5.0
s14pdb1,1.0,23.0,5.0,51.0,49.0,50.0,37.0,32.0,31.0,24.0,12.0,10.0,9.0,12.0,14.0,3.727272727272727,2.75,2.0,3.2857142857142856,1.0,3.0,1.0,3.0,1.0
s17pdb1,1.0,20.0,4.0,55.0,50.0,51.0,28.0,25.0,23.0,20.0,12.0,9.0,5.0,9.0,12.0,3.363636363636364,2.75,4.333333333333333,3.4285714285714284,2.0,1.0,1.0,1.0,1.0
s18pdb1,2.0,19.0,2.0,55.0,51.0,49.0,36.0,32.0,28.0,23.0,12.0,8.0,8.0,8.0,10.0,3.1818181818181817,2.25,3.6666666666666665,3.0,4.0,2.0,2.0,2.0,3.0
s20pdb1,2.0,19.0,3.0,53.0,44.0,42.0,30.0,28.0,20.0,21.0,9.0,10.0,11.0,13.0,9.0,2.1818181818181817,1.5,2.6666666666666665,2.142857142857143,2.0,0.0,,2.0,
